tactic0_id,longitude,latitude,NEAR_CCTV_,NEAR_MOOBA,MOOBAN_EST,MOOBAN_LEV,NEAR_UNITS,UNIT_TYPE,NEAR_VEHIC,VEHICLES_T,NEAR_NAIS_,NAIS_TYPE,NEAR_DIST
1,101.26725,6.26541,29.213938,231.087678,0,0,308.212228,4,296.663131,2,474.080387,2,49.48137367
0,101.26516,6.26472,37.689149,201.977878,0,0,444.750616,4,281.488512,2,291.929426,2,100.9461976
1,101.63518,6.58952,3771.828107,698.088464,0,0,729.729906,3,1448.147412,2,270.813833,1,8.642896764
0,101.69436,6.26567,2694.974449,357.277645,0,0,2582.073208,4,1776.142511,2,42.57028,5,79.14523043
0,101.19154,6.80803,3910.066315,577.496442,1,3,3053.681493,3,3850.901221,2,1120.380437,3,358.5908875
0,101.60909,6.60183,4206.501532,269.121837,0,0,2437.882019,5,3572.216052,2,259.868896,2,13.32474209
0,101.87935,6.11173,1920.421834,254.347799,1,3,327.421482,4,3208.458485,2,225.95005,2,172.4196618
0,101.37957,6.84707,44.95287,594.59274,0,0,579.906367,5,1972.868694,2,4254.47659,3,231.585824
0,101.4961,6.82442,3278.604268,554.576962,1,3,1200.972354,4,2227.174358,2,5868.265611,5,197.4540768
1,101.96359,6.02292,257.165691,2347.741525,0,0,333.310588,5,224.202821,2,331.684239,1,62.56045785
1,101.87428,6.08806,77.651536,592.661491,0,0,783.589188,5,617.194438,2,325.36986,9,17.8641261
0,101.64054,6.33354,8449.668878,739.247989,0,0,1067.554559,4,245.439562,2,7.002012,6,135.4265842
0,101.27954,6.41547,59.591881,847.671587,0,0,1151.717395,5,4179.887748,2,78.062346,1,25.8313197
0,102.01111,6.21657,5868.012405,1217.793854,1,3,5116.862819,4,5841.922431,2,2546.28543,1,1343.039892
1,101.29056,6.50041,410.644006,501.70766,0,0,1544.008466,3,355.817935,2,212.531976,2,79.11564312
1,101.62502,6.71525,632.438741,360.333922,0,0,619.139819,4,1599.022863,2,26.774338,4,18.77728367
0,101.33591,6.82422,1357.506871,731.784887,0,0,1821.160943,5,1448.532367,2,1015.691478,5,1155.146634
0,101.9131,6.26337,2721.797549,3197.153224,0,0,653.454143,4,9051.273136,2,702.34961,5,551.5243347
1,101.63103,6.60204,3494.204716,1813.016792,1,1,9.959205,5,2610.524024,2,113.585399,4,52.85012389
0,101.83063,6.16886,431.65082,417.900874,1,3,2056.625309,4,5436.015062,2,43.4263,6,62.3300795
0,101.60516,6.67667,1873.587739,640.966748,0,0,1164.9751,5,2814.947192,2,28.559028,5,41.75270184
1,101.36382,6.58143,1115.258851,557.877995,0,0,2463.129301,4,310.012496,2,2134.577968,1,79.66801293
1,101.32993,6.61214,3826.166242,1634.731635,0,0,1092.362459,4,702.394924,1,2759.451765,3,101.3326489
0,101.25436,6.86325,223.349815,551.610163,0,0,364.473244,5,131.766752,2,1378.789506,4,32.53577313
0,101.2695,6.16086,9135.522012,1074.152192,0,0,0,4,10133.23164,2,681.601751,3,8.060239371
0,101.37774,6.66705,5676.029936,847.040115,0,0,3152.528611,5,3936.625057,2,3938.706985,3,162.8955033
1,101.64575,6.04237,212.552818,865.34237,1,1,1965.978851,4,2519.954502,2,52.180509,4,151.9792984
